cut_com;comuna;provincia;region;estado;plan_url;decreto_url
10109;"Puerto Varas";Llanquihue;"Los Lagos";"En proceso";;
10206;Puqueldón;Chiloé;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/381;
10303;Purranque;Osorno;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/385;
10304;Puyehue;Osorno;"Los Lagos";"En proceso";;
10207;Queilén;Chiloé;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/410;
10208;Quellón;Chiloé;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/382;https://cambioclimatico.mma.gob.cl/recursos/view/235
10209;Quemchi;Chiloé;"Los Lagos";"En proceso";;
10210;Quinchao;Chiloé;"Los Lagos";"En proceso";;
10305;"Río Negro";Osorno;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/386;
10306;"San Juan de la Costa";Osorno;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/411;
10307;"San Pablo";Osorno;"Los Lagos";Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/412;
11201;Aysén;Aysén;Aysén;"En proceso";;
11401;"Chile Chico";"General Carrera";Aysén;"En proceso";;
11202;Cisnes;Aysén;Aysén;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/389;
11301;Cochrane;"Capitán Prat";Aysén;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/225;
11101;Coihaique;Coyhaique;Aysén;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/388;
11203;Guaitecas;Aysén;Aysén;"En proceso";;
11102;"Lago Verde";Coyhaique;Aysén;"En proceso";;
11302;O'Higgins;"Capitán Prat";Aysén;"En proceso";;
11402;"Río Ibáñez";"General Carrera";Aysén;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/230;
11303;Tortel;"Capitán Prat";Aysén;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/231;
12201;"Cabo de Hornos";"Antártica Chilena";Magallanes;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/428;
12102;"Laguna Blanca";Magallanes;Magallanes;"Sin información";;
12401;Natales;"Última Esperanza";Magallanes;"Sin información";;
12301;Porvenir;"Tierra del Fuego";Magallanes;"Sin información";;
12302;Primavera;"Tierra del Fuego";Magallanes;"Sin información";;
12101;"Punta Arenas";Magallanes;Magallanes;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/236;
12103;"Río Verde";Magallanes;Magallanes;"Sin información";;
12104;"San Gregorio";Magallanes;Magallanes;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/443;
12303;Timaukel;"Tierra del Fuego";Magallanes;"Sin información";;
12402;"Torres del Paine";"Última Esperanza";Magallanes;Aprobado;https://cambioclimatico.mma.gob.cl/recursos/view/255;
